Nazivna moc;Masa vozila;Kombinirana poraba goriva;Vrsta goriva (opis);Znamka;Tovarniöka oznaka oznaka;Komercialna oznaka;Drzava;Drzava (koda);Kategorija in vrsta vozila (opis);Najvisja hitrost;Oblika nadgradnje (opis);Komerc. oznaka  do prvega
13;530;4.9;0;FIAT;110F;500 / L;Italija;ITA;osebni avtomobil;110;limuzina;500
16;600;5.3;0;FIAT;126P 650E;126 P / 650 E;Poljska;POL;osebni avtomobil;116;limuzina;126 P 
17;600;6.4;0;FIAT;126 A1;126;Italija;ITA;osebni avtomobil;105;limuzina;126
18;620;5.3;0;FIAT;126A1;126P / 650E;Poljska;POL;osebni avtomobil;116;limuzina;126P 
18;620;5.8;0;ZASTAVA;CZ100;750 / LC;Jugoslavija;YUG;osebni avtomobil;110;limuzina;750
18;615;5.8;0;ZASTAVA;CZ100;750 / LE;Jugoslavija;YUG;osebni avtomobil;110;limuzina;750
18;605;5.8;0;ZASTAVA;CZ100;750;Jugoslavija;YUG;osebni avtomobil;100;limuzina;750
18;685;7.5;0;ZASTAVA;CZ100;750 / LC;Jugoslavija;YUG;osebni avtomobil;110;limuzina;750
18;625;7.5;0;ZASTAVA;100D;750 /;Jugoslavija;YUG;osebni avtomobil;110;limuzina;750
19.4;673;7.5;0;CITROEN;AM;AMI 6 /;Francija;FRA;osebni avtomobil;113;limuzina;AMI 6 
19.8;1030;11.5;0;FIAT;503B;503B /;Italija;ITA;osebni avtomobil;75;kabriolet;503B 
20;600;6.1;0;CITROEN;AZ-L;2 CV;Francija;FRA;osebni avtomobil;110;kabriolet;2 CV
22;605;5.8;0;ZASTAVA;CZ100;750 / LE;Jugoslavija;YUG;osebni avtomobil;100;limuzina;750
22;715;7.5;0;ZASTAVA;100L1.100;750 / S;Jugoslavija;YUG;osebni avtomobil;120;limuzina;750
22;640;7.5;0;ZASTAVA;CZ100;750 / SC;Jugoslavija;YUG;osebni avtomobil;120;limuzina;750
22;625;7.5;0;ZASTAVA;CZ100;750 / SE;Jugoslavija;YUG;osebni avtomobil;120;limuzina;750
24;605;5.8;0;ZASTAVA;CZ100;850 //;Jugoslavija;YUG;osebni avtomobil;110;limuzina;850
24;650;6.1;0;CITROEN;AZ-L;2 CV / 6;Francija;FRA;osebni avtomobil;110;kabriolet;2 CV 
24;725;7.5;0;CITROEN;-;AMI 8 / BREAK;Francija;FRA;osebni avtomobil;120;karavan;AMI 8 
24;675;7.5;0;CITROEN;AYS4LC;DIANA 6 / LC;Jugoslavija;YUG;osebni avtomobil;118;vozilo z dviûnimi vrati zadaj;DIANA 6 
24;615;7.5;0;CITROEN;AYCE00;MEHARI / 4X4;Francija;FRA;osebni avtomobil;118;kabriolet;MEHARI 
24;600;7.5;0;CITROEN;-;DIANA 6 /;Francija;FRA;osebni avtomobil;118;kabriolet;DIANA 6 
25;800;5.9;0;RENAULT;112800;R4 / GTL;Francija;FRA;osebni avtomobil;125;vozilo z dviûnimi vrati zadaj;R4 
25;720;5.9;0;RENAULT;1128;R4 / GTL;Francija;FRA;osebni avtomobil;120;vozilo z dviûnimi vrati zadaj;R4 
25;870;7.2;0;VOLKSWAGEN;11;1200 J;Nemcija;DEU;osebni avtomobil;115;limuzina;1200 J
25;900;7.5;0;VOLKSWAGEN;11;1200 J /;Nemcija;DEU;osebni avtomobil;115;limuzina;1200 J 
25;840;7.5;0;VOLKSWAGEN;11;1200 J /;Nemcija;DEU;osebni avtomobil;115;kabriolet;1200 J 
25;680;7.5;0;VOLKSWAGEN;11;1200 / J;Nemcija;DEU;osebni avtomobil;115;limuzina;1200
25;760;9.2;0;VOLKSWAGEN;-;1200 / J;Nemcija;DEU;osebni avtomobil;135;limuzina;1200
25;920;9.5;1;VOLKSWAGEN;11;1200 /;Nemcija;DEU;osebni avtomobil;115;limuzina;1200
25;860;9.5;0;VOLKSWAGEN;-;1200 /;Nemcija;DEU;osebni avtomobil;115;limuzina;1200
25;840;9.5;0;VOLKSWAGEN;11;/ 1200 / J;Nemcija;DEU;osebni avtomobil;120;limuzina;/ 1200 / J
25;820;9.5;0;VOLKSWAGEN;11;1300 /;Nemcija;DEU;osebni avtomobil;115;limuzina;1300
25;800;9.5;0;VOLKSWAGEN;11;1200 / J;Nemcija;DEU;osebni avtomobil;117;limuzina;1200
25;800;9.5;0;VOLKSWAGEN;11;1200 /;Nemcija;DEU;osebni avtomobil;115;limuzina;1200
25;740;9.5;0;VOLKSWAGEN;11;1200 / J;Nemcija;DEU;osebni avtomobil;115;kabriolet;1200
29;730;6.1;0;FIAT;187AXA1A00;SEICENTO / 900 /;Italija;ITA;osebni avtomobil;140;vozilo z dviûnimi vrati zadaj;SEICENTO 
29;790;6.7;0;FIAT;141GT53A;PANDA / 900 / i.e.;Italija;ITA;osebni avtomobil;135;vozilo z dviûnimi vrati zadaj;PANDA 
29;680;7.5;0;VOLKSWAGEN;11;1300;Nemcija;DEU;osebni avtomobil;115;limuzina;1300
30;815;3.4;1;SMART;1400A0-NCAAZ200;FORTWO / CABRIO 30 / CDI;Nemcija;DEU;osebni avtomobil;135;kabriolet;FORTWO 
30;805;3.4;1;SMART;1300A0-NCAAZ200;FORTWO / COUPE 30 / CDI;Nemcija;DEU;osebni avtomobil;135;kupe;FORTWO 
30;805;3.4;1;SMART;MC01-1300A0NCAAZ200;COUPE / 30;Nemcija;DEU;osebni avtomobil;135;kupe;COUPE 
30;805;3.6;1;SMART;1300B0-NCAAZ211;FORTWO / COUPE 30/CDI;Nemcija;DEU;osebni avtomobil;135;kupe;FORTWO 
30;805;3.6;1;SMART;MC01-1300B0NCAAZ21;COUPE / 30D;Nemcija;DEU;osebni avtomobil;135;kupe;COUPE 
30;805;3.8;1;SMART;1300C0-KHAAZ200;FORTWO / COUPE 30 / CDI;Nemcija;DEU;osebni avtomobil;135;kupe;FORTWO 
30;805;4.8;1;SMART;MC-01;COUPE / CDI;Nemcija;DEU;osebni avtomobil;135;kupe;COUPE 
32;890;9.2;0;VOLKSWAGEN;13;1303 J /;Nemcija;DEU;osebni avtomobil;115;limuzina;1303 J 
33;875;3.3;1;SMART;4402C0-IZAAA200;FORTWO / CABRIO / CDI;Nemcija;DEU;osebni avtomobil;135;kabriolet;FORTWO 
33;845;3.3;1;SMART;4302C0-IZAAA200;FORTWO / COUPE / CDI;Nemcija;DEU;osebni avtomobil;135;kupe;FORTWO 
33;845;3.4;1;SMART;4302E0-IZAAA200;FORTWO / COUPE / CDI;Nemcija;DEU;osebni avtomobil;135;kupe;FORTWO 
33;795;4.9;0;SMART;MC 01-MCC01B04E3-ASG6A00A0;SMART /;Nemcija;DEU;osebni avtomobil;135;kupe;SMART 
33;925;6.5;0;OPEL;73-X12SZ;CORSA / 1.2 / I;Nemcija;DEU;osebni avtomobil;145;vozilo z dviûnimi vrati zadaj;CORSA 
33;885;8.9;0;OPEL;56;OLIMPIA / RECORD / 1.5;Nemcija;DEU;osebni avtomobil;135;limuzina;OLIMPIA 
35;690;7.1;0;FIAT;850;850 SPECIAL /;Jugoslavija;YUG;osebni avtomobil;135;limuzina;850 SPECIAL 
35;765;7.8;0;FIAT;100GB16;850 / SPECIAL;Italija;ITA;osebni avtomobil;135;limuzina;850
37;805;4.7;0;SMART;1330C0-MAAAZ200;FORTWO / COUPE 37 /;Francija;FRA;osebni avtomobil;135;kupe;FORTWO 
37;940;4.9;0;VOLKSWAGEN;6N SC AER X0 1 SG FM585035;POLO / 1.0 /;Nemcija;DEU;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;POLO 
37;1067;5.7;0;VOLKSWAGEN;SCAUCX01-SGFM5850351N113I;POLO / 1.0 /;Nemcija;DEU;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;POLO 
37;995;5.7;0;VOLKSWAGEN;6N-AUC;POLO / 1.0 /;Nemcija;DEU;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;POLO 
37;971;5.7;0;VOLKSWAGEN;6X;LUPO / 1.0 / I;Nemcija;DEU;osebni avtomobil;152;vozilo z dviûnimi vrati zadaj;LUPO 
37;955;5.8;0;SEAT;6HS;AROSA / 1.0;äpanija;ESP;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;AROSA 
37;916;5.8;0;SEAT;SCAUCX01-SGFM5850351N1I4;AROSA / 1.0 /;äpanija;ESP;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;AROSA 
37;971;5.8;0;VOLKSWAGEN;6X-AUC;LUPO / 1.0;Nemcija;DEU;osebni avtomobil;152;vozilo z dviûnimi vrati zadaj;LUPO 
37;956;5.8;0;VOLKSWAGEN;6X;LUPO / 1.0;Nemcija;DEU;osebni avtomobil;152;vozilo z dviûnimi vrati zadaj;LUPO 
37;992;5.9;0;VOLKSWAGEN;6N SCAUCX01;POLO / 1.0 /;Nemcija;DEU;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;POLO 
37;915;5.9;0;VOLKSWAGEN;6N10H4;POLO / 1.0 /;Nemcija;DEU;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;POLO 
37;887;5.9;0;VOLKSWAGEN;SCALDX01-SGFM5850351N113I;POLO / 1.0 /;Nemcija;DEU;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;POLO 
37;900;6.2;0;CITROEN;S1CDZF;SAXO / 1.0 / i;Francija;FRA;osebni avtomobil;149;vozilo z dviûnimi vrati zadaj;SAXO 
37;870;6.2;0;PEUGEOT;1CCDZE;106 / 1.0 / i;Francija;FRA;osebni avtomobil;150;vozilo z dviûnimi vrati zadaj;106
37;830;6.5;1;VOLKSWAGEN;17CK-179;GOLF / 1.5 / D;Nemcija;DEU;osebni avtomobil;140;vozilo z dviûnimi vrati zadaj;GOLF 
37;900;9.1;0;VOLKSWAGEN;17;GOLF / 1.1 / L;Nemcija;DEU;osebni avtomobil;135;vozilo z dviûnimi vrati zadaj;GOLF 
38;910;5.2;0;CHEVROLET;KH1-111;SPARK / 0.8 /;Koreja. republika;KOR;osebni avtomobil;145;vozilo z dviûnimi vrati zadaj;SPARK 
38;870;5.7;0;CHEVROLET;KH1-113;SPARK / 0.8 / AUT.;Koreja. republika;KOR;osebni avtomobil;135;vozilo za posebne namene;SPARK 
38;870;5.7;0;CHEVROLET;KH1-113;SPARK / 0.8 / AUT.;Koreja. republika;KOR;osebni avtomobil;135;vozilo z dviûnimi vrati zadaj;SPARK 
38;850;5.8;0;CHEVROLET;KH1-111;SPARK / 0.8 /;Koreja. republika;KOR;osebni avtomobil;145;vozilo z dviûnimi vrati zadaj;SPARK 
38;1355;5.8;0;OPEL;DL11-1A07A3CBCA5;CORSA / 1.2;Nemcija;DEU;osebni avtomobil;175;vozilo z dviûnimi vrati zadaj;CORSA 
40;875;3.3;1;SMART;4403F0-RZAAA200;FORTWO / CABRIO / CDI;Nemcija;DEU;osebni avtomobil;135;kabriolet;FORTWO 
40;845;3.3;1;SMART;4303F0-SZAAA200;FORTWO / COUPE / CDI;Nemcija;DEU;osebni avtomobil;135;kupe;FORTWO 
40;965;4.1;1;CITROEN;PN8HTC;C1 / 1.4 / HDi;Francija;FRA;osebni avtomobil;154;vozilo z dviûnimi vrati zadaj;C1 
40;960;4.1;1;CITROEN;PM8HTC;C1 / 1.4 / HDi;Francija;FRA;osebni avtomobil;154;vozilo z dviûnimi vrati zadaj;C1 
40;955;4.1;1;PEUGEOT;PM8HTC;107 / 1.4 / HDI;Francija;FRA;osebni avtomobil;154;vozilo z dviûnimi vrati zadaj;107
40;965;4.1;1;TOYOTA;WNB10L-AHMGXW(1B);AYGO / 1.4 / D;Japonska ;JPN;osebni avtomobil;154;vozilo z dviûnimi vrati zadaj;AYGO 
40;805;4.7;0;SMART;MC01;SMART / COUPE / 40;Nemcija;DEU;osebni avtomobil;135;kabriolet;SMART 
40;795;4.7;0;SMART;MC01;SMART / COUPE / 40;Nemcija;DEU;osebni avtomobil;135;kupe;SMART 
40;795;4.7;0;SMART;MC01;COUPE / 40;Nemcija;DEU;osebni avtomobil;135;kupe;COUPE 
40;795;4.8;0;SMART;MCC01B01D3-A5G6A00A0;SMART /;Francija;FRA;osebni avtomobil;135;vozilo z dviûnimi vrati zadaj;SMART 
40;730;4.8;0;SMART;MC-01;COUPE / PUR;Nemcija;DEU;osebni avtomobil;135;kupe;COUPE 
40;805;4.9;0;SMART;MC01;FORTWO / COUPE 30 /;Francija;FRA;osebni avtomobil;135;kupe;FORTWO 
40;720;5.1;1;RENAULT;B40405;R5 / 1.6 /  D;Francija;FRA;osebni avtomobil;150;vozilo z dviûnimi vrati zadaj;R5 
40;805;5.1;0;SMART;MC01;CABRIO / 40 / AUT.;Nemcija;DEU;osebni avtomobil;135;kabriolet;CABRIO 
40;795;5.1;0;SMART;MC01;COUPE / 40;Nemcija;DEU;osebni avtomobil;135;kupe;COUPE 
40;805;5.2;0;SMART;MC01-MCO01B03E3;CABRIO 40 / AUT.;Nemcija;DEU;osebni avtomobil;135;kabriolet;CABRIO 40 
40;985;5.3;1;CITROEN;S1VJYF;SAXO / 1.5 / D;Francija;FRA;osebni avtomobil;158;vozilo z dviûnimi vrati zadaj;SAXO 
40;805;5.3;0;SMART;MC01;FORTWO / COUPE 40 /;Nemcija;DEU;osebni avtomobil;135;kupe;FORTWO 
40;920;5.5;0;FIAT;176AQ53F;PUNTO / 1.1 / 55 S;Italija;ITA;osebni avtomobil;150;vozilo z dviûnimi vrati zadaj;PUNTO 
40;920;5.6;1;VOLKSWAGEN;17-JK;GOLF / JGLD /;Jugoslavija;YUG;osebni avtomobil;160;vozilo z dviûnimi vrati zadaj;GOLF 
40;920;5.6;1;VOLKSWAGEN;19E;GOLF / JXD;Nemcija;DEU;osebni avtomobil;120;vozilo z dviûnimi vrati zadaj;GOLF 
40;900;5.6;1;VOLKSWAGEN;19E;GOLF / JXD;Nemcija;DEU;osebni avtomobil;200;vozilo z dviûnimi vrati zadaj;GOLF 
40;1255;5.7;0;FIAT;169AXA1A00C;PANDA / 1.1;Italija;ITA;osebni avtomobil;150;vozilo z dviûnimi vrati zadaj;PANDA 
40;915;5.7;0;FIAT;169AXA1A00C;PANDA / 1.1 /;Italija;ITA;osebni avtomobil;150;vozilo z dviûnimi vrati zadaj;PANDA 
40;915;5.7;0;FIAT;169AXA1A00C;PANDA / 1.1 /;Italija;ITA;osebni avtomobil;150;vecnamensko vozilo;PANDA 
40;840;5.7;0;FIAT;169AXA1A00C;FIAT / PANDA / 1.1 /;Italija;ITA;osebni avtomobil;150;vozilo z dviûnimi vrati zadaj;FIAT 
40;940;5.7;0;OPEL;FN11-0A04AACFAB5;CORSA / 1.0 / 12V;Nemcija;DEU;osebni avtomobil;150;vozilo z dviûnimi vrati zadaj;CORSA 
40;865;5.7;1;VOLKSWAGEN;17-CR;GOLF / D;Nemcija;DEU;osebni avtomobil;148;vozilo z dviûnimi vrati zadaj;GOLF 
40;1089;5.8;0;VOLKSWAGEN;ABSBMDX01-FM5FM52T0891N1X0GG;POLO / 1.2 /;Nemcija;DEU;osebni avtomobil;152;vozilo z dviûnimi vrati zadaj;POLO 
40;920;5.8;1;VOLKSWAGEN;19E-JP;GOLF / CL / DIESEL;Nemcija;DEU;osebni avtomobil;160;vozilo z dviûnimi vrati zadaj;GOLF 
40;1162;5.9;0;äKODA;SCBMDX01-NFM5FM52T029K13S0GGS5;FABIA / 1.2 /;Ceöka republika;CZE;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;FABIA 
40;1120;5.9;0;äKODA;SCBMDX01-NFM5FM52T08913S0GGS5;FABIA / 1.2 /;Ceöka republika;CZE;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;FABIA 
40;1113;5.9;0;äKODA;SCBMDX01-NFM5FM52T029K130GGS5;FABIA / 1.2 /;Ceöka republika;CZE;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;FABIA 
40;1058;5.9;0;äKODA;6Y SCAWYX01-FM5FM52T029KALLE0GG;FABIA / 1.2;Ceöka republika;CZE;osebni avtomobil;151;limuzina;FABIA 
40;1010;5.9;0;äKODA;SCAWYX01-FM5FM52T029K13S0GG;FABIA / 1.2 /;Ceöka republika;CZE;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;FABIA 
40;1165;5.9;0;VOLKSWAGEN;ABSBMDX01-FM5FM52T0291N1K0GG;POLO / 1.2 /;Nemcija;DEU;osebni avtomobil;152;vozilo z dviûnimi vrati zadaj;POLO 
40;1164;5.9;0;VOLKSWAGEN;ABSBMDX01-FM5FM52T0291N1K0GG;POLO / 1.2;Nemcija;DEU;osebni avtomobil;152;vozilo z dviûnimi vrati zadaj;POLO 
40;1160;5.9;0;VOLKSWAGEN;SC AWYX01-SGFM52T0291N1K0GG;POLO / 1.2 /;Nemcija;DEU;osebni avtomobil;152;limuzina;POLO 
40;1160;5.9;0;VOLKSWAGEN;SCAWYX01-SGFM52T0291N1K0GG;POLO / 1.2;Nemcija;DEU;osebni avtomobil;152;vozilo z dviûnimi vrati zadaj;POLO 
40;1152;5.9;0;VOLKSWAGEN;ABSBMDX01-FM5FM52T0891N1K0GG;POLO / 1.2 /;Nemcija;DEU;osebni avtomobil;152;vozilo z dviûnimi vrati zadaj;POLO 
40;1148;5.9;0;VOLKSWAGEN;SC AWYX01-SGFM52T0291N1K0GG;POLO / 1.2;Nemcija;DEU;osebni avtomobil;152;limuzina;POLO 
40;1120;5.9;0;VOLKSWAGEN;9N SC AWYX01-SGFM52T0291N1K0GG;POLO / 1.2;Nemcija;DEU;osebni avtomobil;152;limuzina;POLO 
40;1085;5.9;0;VOLKSWAGEN;9N SC AWYX01-SGFM52T0291N1K0GG;POLO / 1.2;Nemcija;DEU;osebni avtomobil;152;vozilo z dviûnimi vrati zadaj;POLO 
40;1078;5.9;0;VOLKSWAGEN;9N ABSBMDX01-FM5FM52T0291N1K0GG;POLO / 1.2;Nemcija;DEU;osebni avtomobil;152;vozilo z dviûnimi vrati zadaj;POLO 
40;1069;5.9;0;VOLKSWAGEN;ABSBMD-FM52T0891N114;FOX / 1.2 /;Nemcija;DEU;osebni avtomobil;148;vozilo z dviûnimi vrati zadaj;FOX 
40;1020;5.9;0;VOLKSWAGEN;SCAWYX01-SGFM52T0291N1K0GG;POLO / 1.2 /;Nemcija;DEU;osebni avtomobil;152;vozilo z dviûnimi vrati zadaj;POLO 
40;975;5.9;1;VOLKSWAGEN;19E-2G;GOLF / CL;Nemcija;DEU;osebni avtomobil;148;vozilo z dviûnimi vrati zadaj;GOLF 
40;895;6.1;0;NISSAN;K11-A06;MICRA / 1.0 / AUT.;Zdruûeno kraljestvo;GBR;osebni avtomobil;145;vozilo z dviûnimi vrati zadaj;MICRA 
40;1141;6.1;0;VOLKSWAGEN;ABBMD-FM52T0791N1K14;FOX / 1.2;Nemcija;DEU;osebni avtomobil;148;vozilo z dviûnimi vrati zadaj;FOX 
40;1136;6.1;0;VOLKSWAGEN;ABBMD-FM52T0791N1K14;FOX / 1.2 /;Nemcija;DEU;osebni avtomobil;148;vozilo z dviûnimi vrati zadaj;FOX 
40;1132;6.1;0;VOLKSWAGEN;5ZABBMD-FM52T0791N1K14;FOX / 1.2 /;Nemcija;DEU;osebni avtomobil;148;vozilo z dviûnimi vrati zadaj;FOX 
40;1124;6.1;0;VOLKSWAGEN;ABSBMD-FM52T0791N1K14;FOX / 1.2 /;Nemcija;DEU;osebni avtomobil;148;vozilo z dviûnimi vrati zadaj;FOX 
40;1090;6.1;0;VOLKSWAGEN;ABSBMD-FM52T0791N0K13;FOX / 1.2 /;Nemcija;DEU;osebni avtomobil;148;vozilo z dviûnimi vrati zadaj;FOX 
40;1082;6.1;0;VOLKSWAGEN;ABBMD-FM52T0791N0K13;FOX / 1.2 /;Nemcija;DEU;osebni avtomobil;148;vozilo z dviûnimi vrati zadaj;FOX 
40;1070;6.1;0;VOLKSWAGEN;9N;POLO / 1.2;Nemcija;DEU;osebni avtomobil;152;vozilo z dviûnimi vrati zadaj;POLO 
40;1069;6.1;0;VOLKSWAGEN;ABSBMD-FM52T0891N114;FOX / 1.2 /;Nemcija;DEU;osebni avtomobil;148;vozilo z dviûnimi vrati zadaj;FOX 
40;830;6.3;0;HYUNDAI;5G-11;ATOS / 1.0;Koreja. republika;KOR;osebni avtomobil;142;vozilo z dviûnimi vrati zadaj;ATOS 
40;1000;6.3;1;VOLKSWAGEN;32B;PASSAT / 1.6;Nemcija;DEU;osebni avtomobil;143;vozilo z dviûnimi vrati zadaj;PASSAT 
40;857;6.4;0;FIAT;176AQ55F;PUNTO / 55 / S;Italija;ITA;osebni avtomobil;150;vozilo z dviûnimi vrati zadaj;PUNTO 
40;960;6.5;0;FIAT;176AR52C;PUNTO / 55 / S;Italija;ITA;osebni avtomobil;150;kabriolet;PUNTO 
40;865;6.5;0;FIAT;176AQ55A01;PUNTO / 55 / S;Italija;ITA;osebni avtomobil;150;vozilo z dviûnimi vrati zadaj;PUNTO 
40;810;6.5;0;FIAT;187AXC1A02B;SEICENTO / 1100 /;Italija;ITA;osebni avtomobil;150;vozilo z dviûnimi vrati zadaj;SEICENTO 
40;1120;6.5;1;VOLKSWAGEN;19E;GOLF / JXD;Nemcija;DEU;osebni avtomobil;160;vozilo z dviûnimi vrati zadaj;GOLF 
40;930;6.5;1;VOLKSWAGEN;19E;GOLF / JXD;Nemcija;DEU;osebni avtomobil;155;vozilo z dviûnimi vrati zadaj;GOLF 
40;901;6.8;1;FORD;-;ESCORT / 1.6 CL;Nemcija;DEU;osebni avtomobil;179;vozilo z dviûnimi vrati zadaj;ESCORT 
40;1390;7.1;1;MERCEDES BENZ;123.120;200 / D;Nemcija;DEU;osebni avtomobil;130;limuzina;200
40;835;7.2;0;RENAULT;C57-705;CLIO / 1.2;Francija;FRA;osebni avtomobil;181;vozilo z dviûnimi vrati zadaj;CLIO 
40;925;7.4;0;FIAT;176A-053A 00B;PUNTO / 1.1;Italija;ITA;osebni avtomobil;150;vozilo z dviûnimi vrati zadaj;PUNTO 
40;920;7.4;1;VOLKSWAGEN;17-JP;GOLF / 1.6 / JGLD;Nemcija;DEU;osebni avtomobil;154;vozilo z dviûnimi vrati zadaj;GOLF 
40;750;7.4;1;VOLKSWAGEN;17;GOLF / 1.6 / JGLD;Nemcija;DEU;osebni avtomobil;154;vozilo z dviûnimi vrati zadaj;GOLF 
40;750;7.4;1;VOLKSWAGEN;17;GOLF / 1.6 / JGLD;Nemcija;DEU;osebni avtomobil;140;vozilo z dviûnimi vrati zadaj;GOLF 
40;790;7.6;0;FIAT;141AK53B;PANDA / 1.1 / 4x4 ;Italija;ITA;osebni avtomobil;130;vozilo z dviûnimi vrati zadaj;PANDA 
40;1370;8.5;1;MERCEDES BENZ;115.110;220 / D;Nemcija;DEU;osebni avtomobil;135;limuzina;220
40;850;8.5;0;OPEL;C;KADETT C / /;Nemcija;DEU;osebni avtomobil;132;limuzina;KADETT C 
40.4;920;6.3;0;HYUNDAI;5G-11;ATOS / 1.0;Koreja. republika;KOR;osebni avtomobil;142;vozilo z dviûnimi vrati zadaj;ATOS 
41;770;9.3;0;SUZUKI;LJ;LJ / 80;Japonska ;JPN;osebni avtomobil;110;limuzina;LJ 
42;905;5.2;1;CITROEN;S1VJXB;SAXO / 1.5 / D;Francija;FRA;osebni avtomobil;158;vozilo z dviûnimi vrati zadaj;SAXO 
42;980;8.7;0;AUDI;F 103;60 L;Nemcija;DEU;osebni avtomobil;135;limuzina;60 L
43;980;4.2;0;RENAULT;BB080F;CLIO / 1.2 /;Francija;FRA;osebni avtomobil;175;vozilo z dviûnimi vrati zadaj;CLIO 
43;959;5.5;0;HYUNDAI;C-OY;ATOS-PRIME / 1.1;Indija;IND;osebni avtomobil;147;vozilo z dviûnimi vrati zadaj;ATOS-PRIME 
43;1000;5.5;0;RENAULT;CN0D05;TWINGO / 1.2 /;Francija;FRA;osebni avtomobil;150;vozilo z dviûnimi vrati zadaj;TWINGO 
43;905;5.6;0;OPEL;BA11-1A01A2BBCA5;CORSA / 1.0 /;Nemcija;DEU;osebni avtomobil;170;vozilo z dviûnimi vrati zadaj;CORSA 
43;905;5.6;0;OPEL;BA11-1A01A2BBCA5;CORSA / 1.0 / 12V;Nemcija;DEU;osebni avtomobil;155;vozilo z dviûnimi vrati zadaj;CORSA 
43;1000;5.6;0;RENAULT;CN0D05;TWINGO / 1.2 /;Francija;FRA;osebni avtomobil;150;vozilo z dviûnimi vrati zadaj;TWINGO 
43;895;5.7;0;RENAULT;C06G05;TWINGO / 1.2 /;Francija;FRA;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;TWINGO 
43;915;5.8;0;RENAULT;C061CK;TWINGO / 1.2 /;Francija;FRA;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;TWINGO 
43;895;5.8;0;RENAULT;C068AE;TWINGO / 1.2 /;Francija;FRA;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;TWINGO 
43;820;5.8;0;RENAULT;C068AE;TWINGO / 1.2 /;Francija;FRA;osebni avtomobil;140;vozilo z dviûnimi vrati zadaj;TWINGO 
43;959;5.9;0;HYUNDAI;A-O;ATOS-PRIME / 1.1;Indija;IND;osebni avtomobil;146;vozilo z dviûnimi vrati zadaj;ATOS-PRIME 
43;1040;5.9;0;RENAULT;BB2T05;CLIO / 1.2;Francija;FRA;osebni avtomobil;170;vozilo z dviûnimi vrati zadaj;CLIO 
43;1010;5.9;0;RENAULT;BB1KEF;CLIO / 1.2 /;Francija;FRA;osebni avtomobil;160;vozilo z dviûnimi vrati zadaj;CLIO 
43;990;5.9;0;RENAULT;CB1KEF;CLIO / 1.2 /;Francija;FRA;osebni avtomobil;160;vozilo z dviûnimi vrati zadaj;CLIO 
43;895;5.9;0;RENAULT;C06-G0E;TWINGO / 1.2;Francija;FRA;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;TWINGO 
43;975;6.2;0;RENAULT;BB0A0F;CLIO / 1.2 /;Francija;FRA;osebni avtomobil;160;vozilo z dviûnimi vrati zadaj;CLIO 
43;955;6.2;0;RENAULT;CB0-A0F;CLIO / 1.2 /;Francija;FRA;osebni avtomobil;160;vozilo z dviûnimi vrati zadaj;CLIO 
43;925;6.2;0;RENAULT;C0660G;TWINGO / 1.2 /;Francija;FRA;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;TWINGO 
43;905;6.2;0;RENAULT;BB0-A0F;CLIO / 1.1;Francija;FRA;osebni avtomobil;160;vozilo z dviûnimi vrati zadaj;CLIO 
43;895;6.2;0;RENAULT;C066-MG;TWINGO / 1.2 /;Francija;FRA;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;TWINGO 
43;890;6.2;0;RENAULT;C06605;TWINGO / 1.2 /;Francija;FRA;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;TWINGO 
43;880;6.2;0;RENAULT;CB0A0F;CLIO / 1.2 /;Francija;FRA;osebni avtomobil;160;vozilo z dviûnimi vrati zadaj;CLIO 
43;880;6.2;0;RENAULT;CB0FBF;CLIO / 1.2 /;Francija;FRA;osebni avtomobil;158;vozilo z dviûnimi vrati zadaj;CLIO 
43;820;6.2;0;RENAULT;C06-6MG;TWINGO / 1.2;Francija;FRA;osebni avtomobil;151;vozilo z dviûnimi vrati zadaj;TWINGO 
43;940;6.3;0;OPEL;AA11-1A03A1AABA4;AGILA / 1.0 / 12V;Nemcija;DEU;osebni avtomobil;142;vecnamensko vozilo;AGILA 
43;1215;6.9;0;RENAULT;FC0FAF;KANGOO EXPRESS 1.2;Francija;FRA;osebni avtomobil;140;vecnamensko vozilo;KANGOO EXPRESS 1.2
43;1095;6.9;0;RENAULT;KC0AAF;KANGOO / 1.2 /;Francija;FRA;osebni avtomobil;142;karavan;KANGOO 
